"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","11.000","11.120","11.120","10.960","9.66M","-1.61%"
"12/29/2021","11.180","11.200","11.200","11.020","8.55M","-0.18%"
"12/28/2021","11.200","11.180","11.200","11.060","5.96M","0.18%"
"12/27/2021","11.180","11.280","11.300","11.040","9.97M","-0.71%"
"12/24/2021","11.260","11.120","11.380","11.120","10.48M","1.44%"
"12/23/2021","11.100","10.620","11.160","10.620","31.14M","4.72%"
"12/22/2021","10.600","10.600","10.680","10.500","13.10M","0.00%"
"12/21/2021","10.600","10.700","10.700","10.560","10.69M","-1.30%"
"12/20/2021","10.740","10.560","10.740","10.360","11.87M","1.13%"
"12/17/2021","10.620","10.700","10.740","10.300","9.25M","-1.30%"
"12/16/2021","10.760","10.200","10.760","10.200","14.50M","4.47%"
"12/15/2021","10.300","10.600","10.600","10.020","47.18M","-2.83%"
"12/14/2021","10.600","10.860","10.900","10.560","34.22M","-2.57%"
"12/13/2021","10.880","10.800","10.940","10.760","19.57M","1.30%"
"12/10/2021","10.740","10.560","10.760","10.340","20.15M","1.70%"
"12/09/2021","10.560","10.400","10.660","10.140","53.83M","0.57%"
"12/07/2021","10.500","10.900","10.900","9.970","104.58M","-4.55%"
"12/06/2021","11.000","11.140","11.340","10.840","36.28M","-1.79%"
"12/03/2021","11.200","11.420","11.440","11.040","14.12M","-2.10%"
"12/02/2021","11.440","10.740","11.440","10.560","45.52M","6.32%"
"12/01/2021","10.760","11.880","11.880","10.740","129.88M","-4.61%"
"11/29/2021","11.280","11.500","11.800","11.000","444.12M","-3.92%"
"11/26/2021","11.740","11.960","11.960","11.700","70.16M","-1.34%"
"11/25/2021","11.900","11.900","12.000","11.840","50.31M","0.51%"
"11/24/2021","11.840","12.060","12.060","11.840","41.50M","-1.66%"
"11/23/2021","12.040","11.940","12.100","11.920","44.21M","1.18%"
"11/22/2021","11.900","11.900","11.980","11.840","20.40M","0.68%"
"11/19/2021","11.820","11.960","11.980","11.740","23.35M","-1.83%"
"11/18/2021","12.040","12.080","12.080","11.900","24.31M","0.33%"
"11/17/2021","12.000","12.100","12.160","11.980","30.23M","-0.66%"
"11/16/2021","12.080","12.000","12.120","11.920","39.18M","0.67%"
"11/15/2021","12.000","12.000","12.200","11.620","42.09M","0.17%"
"11/12/2021","11.980","12.540","12.600","11.900","77.93M","-2.44%"
"11/11/2021","12.280","12.140","12.280","12.120","31.83M","1.15%"
"11/10/2021","12.140","12.200","12.260","12.100","30.58M","-0.16%"
"11/09/2021","12.160","12.180","12.280","12.140","18.72M","0.16%"
"11/08/2021","12.140","12.300","12.300","12.140","16.40M","-0.98%"
"11/05/2021","12.260","12.280","12.460","12.140","27.10M","0.00%"
"11/04/2021","12.260","12.200","12.260","12.020","20.46M","0.49%"
"11/03/2021","12.200","12.240","12.400","12.080","21.76M","-0.33%"
"11/02/2021","12.240","12.500","12.740","12.000","45.42M","-0.16%"
"10/29/2021","12.260","12.500","12.740","12.000","26.65M","-0.33%"
"10/28/2021","12.300","12.300","12.380","12.040","14.32M","1.65%"
"10/27/2021","12.100","12.060","12.540","12.040","60.10M","1.00%"
"10/26/2021","11.980","11.460","11.980","11.400","34.70M","5.46%"
"10/25/2021","11.360","11.040","11.520","10.940","41.84M","2.90%"
"10/22/2021","11.040","11.520","11.780","10.980","53.12M","-3.83%"
"10/21/2021","11.480","11.800","11.860","11.400","41.24M","-3.37%"
"10/20/2021","11.880","12.000","12.380","11.840","46.05M","0.00%"
"10/19/2021","11.880","10.700","12.040","10.700","59.52M","10.00%"
"10/18/2021","10.800","11.260","11.260","10.700","58.12M","-4.59%"
"10/15/2021","11.320","11.700","11.700","11.100","65.57M","-3.25%"
"10/14/2021","11.700","12.100","12.120","11.540","45.43M","-3.47%"
"10/13/2021","12.120","12.980","13.000","11.300","93.92M","-6.19%"
"10/12/2021","12.920","12.860","12.960","12.760","21.35M","0.62%"
"10/11/2021","12.840","12.600","12.900","12.480","18.63M","1.74%"
"10/08/2021","12.620","12.420","12.800","12.420","33.30M","1.61%"
"10/07/2021","12.420","12.480","12.760","12.120","52.35M","0.16%"
"10/06/2021","12.400","11.980","12.400","11.960","36.24M","3.68%"
"10/05/2021","11.960","12.000","12.020","11.780","22.65M","0.34%"
"10/04/2021","11.920","11.760","12.100","11.680","34.58M","2.58%"
"10/01/2021","11.620","11.280","11.760","11.180","21.23M","3.01%"
"09/30/2021","11.280","11.180","11.520","11.160","41.34M","-0.18%"
"09/29/2021","11.300","11.500","11.520","10.900","81.59M","-3.42%"
"09/28/2021","11.700","12.100","12.100","11.640","46.87M","-3.31%"
"09/27/2021","12.100","11.700","12.120","11.540","47.74M","3.42%"
"09/24/2021","11.700","11.200","11.860","11.200","53.59M","4.65%"
"09/23/2021","11.180","10.880","11.200","10.860","35.58M","3.14%"
"09/22/2021","10.840","10.380","10.860","10.380","20.83M","4.23%"
"09/21/2021","10.400","10.160","10.400","10.100","17.02M","0.00%"
"09/20/2021","10.400","10.360","10.560","10.160","23.13M","0.39%"
"09/17/2021","10.360","10.500","10.680","10.320","133.86M","-1.15%"
"09/16/2021","10.480","10.120","10.560","10.120","57.24M","3.76%"
